mod_id,slug,folder,file_count
1121692237,gigastructural-engineering-more-44,(root),4
1121692237,gigastructural-engineering-more-44,common,1183
1121692237,gigastructural-engineering-more-44,events,87
1121692237,gigastructural-engineering-more-44,flags,77
1121692237,gigastructural-engineering-more-44,fonts,1
1121692237,gigastructural-engineering-more-44,gfx,4759
1121692237,gigastructural-engineering-more-44,interface,71
1121692237,gigastructural-engineering-more-44,localisation,401
1121692237,gigastructural-engineering-more-44,music,3
1121692237,gigastructural-engineering-more-44,sound,45
2648658105,extra-ship-components-next,(root),3
2648658105,extra-ship-components-next,common,161
2648658105,extra-ship-components-next,events,6
2648658105,extra-ship-components-next,gfx,2783
2648658105,extra-ship-components-next,interface,12
2648658105,extra-ship-components-next,localisation,80
2648658105,extra-ship-components-next,mockups,2
3250900527,starbase-extended-30,(root),3
3250900527,starbase-extended-30,common,21
3250900527,starbase-extended-30,gfx,80
3250900527,starbase-extended-30,interface,2
3250900527,starbase-extended-30,localisation,10
3610149307,stellar-ai,(root),2
3610149307,stellar-ai,.vscode,1
3610149307,stellar-ai,common,79
3610149307,stellar-ai,events,1
3610149307,stellar-ai,localisation,1
683230077,nsc3,(root),2
683230077,nsc3,common,98
683230077,nsc3,events,6
683230077,nsc3,gfx,499
683230077,nsc3,interface,9
683230077,nsc3,localisation,172
