run_id,checkpoint_year,date,empire_rank,empire_name,country_id,economy_power,tech_power,fleet_power,naval_capacity_used,naval_capacity_available,research,alloys_income,consumer_goods_income,energy_income,minerals_income,food_income,pops,colonies,systems,habitats,megastructures,deficits,notes,evidence_file
observer-20260707T073706Z,2250,2250.01.01,1,Werdo Accord,16777225,1836.813,1837.5,35,35,,391.033,133.992,,386.464,389.529,303.851,16915,5,,,7,,save country type colony; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,2,NAME_The_Chosen,44,1667.325,1805,102,102,,436.892,37.296,275.616,469.35,218.382,24.8,25557,6,,,2,,save country type 2; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,3,Dedawan Star_Dynasty,41,1515.183,1310,10,10,,195.88,67.905,109.017,185.807,158.124,204.366,10906,2,,,,,save country type country; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,4,SPEC_Alari Kernel,16777217,1470.221,1270,122,122,,310.149,113.089,,566.816,381.657,20,13180,6,,,12,,save country type colony; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,5,Balajid Hive,16777223,1342.177,1270,114,114,,271.223,60.048,,447.963,229.901,391.418,15895,3,,,1,,save country type 2; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,6,Sakhônaran Mercantile_Union,16777222,1188.84,1172.5,95,95,,212.767,33.128,145.874,298.061,202.354,147.217,11312,3,,,2,,save country type country; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,7,Farithian Republic,16777226,1173.546,1477.5,48,48,,232.585,35.002,150.17,206.701,274.545,206.422,12111,3,,,4,,save country type colony; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,8,Argolino Hive,16777224,1099.011,1415,81,81,,121.131,70.3,,282.689,273.838,241.217,16457,4,,,,,save country type colony; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,9,Nintidarite %ADJ% Divine Empire,16777227,1086.729,1270,35,35,,274.864,35.696,82.019,325.308,211.019,172.162,11809,4,,,5,,save country type 2; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,10,Sovereign %ADJECTIVE% Frann Confederacy,16777228,1036.035,1250,107,107,,194.702,36.805,51.16,270.498,279.183,176.845,12106,1,,,8,,save country type colony; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,11,Feral Hesukaran Annihilators,2,907.488,1005,111,111,,135.208,63.326,,209.869,171.586,234.34,10922,1,,,,,save country type 2; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
observer-20260707T073706Z,2250,2250.01.01,12,Ahutahinan Destroyers,16777220,878.105,1365,28,34,,151.776,27.106,101.473,179.684,224.75,93.35,9245,2,,,3,,save country type colony; regular AI benchmark excludes fallen/special countries,exports\saves\autosave_2250.01.01.sav
