category,owner,risk,next_action,count,severity,source,first_path,first_line,last_path,last_line,signature
uses_ship_category_scope,Parent mod script scope,uses_ship_category evaluated in an invalid scope,Verify trigger/effect scope against current docs before patching any ship-growth route.,1547,error,trigger.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218517,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224197,trigger.cpp:<line>: Wrong scope for trigger 'uses_ship_category' | Current scope: ship_growth_stage | Supported Scopes: country
uses_ship_category_scope,Parent mod script scope,uses_ship_category evaluated in an invalid scope,Verify trigger/effect scope against current docs before patching any ship-growth route.,323,error,trigger.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,226052,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,235625,trigger.cpp:<line>: Wrong scope for trigger 'uses_ship_category' | Current Scope: ship_growth_stage | Supported Scopes: country
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",203,info,eventcommands.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,20,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,1336,"eventcommands.cpp:<line>: Event first_contact.1 added info about event selection. selectedOption 0, human -1, playerEventId <n>"
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",164,error,namelist.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,15276,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,16047,namelist.cpp:<line>: Error: Failed Reading Ship Names!
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",158,info,eventcommands.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,36,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,1340,"eventcommands.cpp:<line>: Event first_contact.<n> added info about event selection. selectedOption 0, human -1, playerEventId <n>"
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,152,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214252,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218388,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference fe_escort from database common/scripted_triggers/esc_ship_size_triggers.txt
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",140,error,trigger.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,232220,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,235622,trigger.cpp:<line>: Wrong scope for trigger 'resource_expenses_compare' | Current Scope: ship_growth_stage | Supported Scopes: country
gigas_frameworld,Gigastructural Engineering,Frameworld or frameworld defensive-station reference drift,Inspect Gigas frameworld source and avoid Director overrides until current IDs are proven.,133,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,225328,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,225681,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference frameworld_planetary_outpost from database common/scripted_triggers/giga_habitat_triggers.txt
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",125,info,eventcommands.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,122,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,1327,"eventcommands.cpp:<line>: Event gpm_dig_site.<n> added info about event selection. selectedOption 0, human -1, playerEventId <n>"
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,124,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214219,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,217225,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference starbase_battlefortress from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,120,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214209,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218416,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference att from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,120,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214210,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218417,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference conquistador from database common/scripted_triggers/esc_ship_size_triggers.txt
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",108,info,eventcommands.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,47,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\game.log,1315,"eventcommands.cpp:<line>: Event first_contact_critters.<n> added info about event selection. selectedOption 0, human -1, playerEventId <n>"
