building_id,primary_role,primary_role_score,readiness_phase,gate_reasons,build_plan_candidate,repeatable_candidate,capital_tier_gate,fallback_building_id,fallback_primary_role_score,fallback_reason,readiness_status,prerequisites,potential_allow_gates,potential_allow_gate_atoms,event_flags,unlock_flags,is_upgrade_terminal,upgrade_terminal,upgrade_chain_to_terminal,colony_class,category,winning_mod_name,winning_file
building_contained_ecosphere,agri_world,40.0,after_event_flag,event_flag;scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,azaryn_dead,,yes,building_contained_ecosphere,building_contained_ecosphere,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\17_paragon_buildings.txt
building_giga_corrona_homes,agri_world,10.0,after_event_flag,event_flag;scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,corrona_primitives;thaumstellaris_initialize,,yes,building_giga_corrona_homes,building_giga_corrona_homes,generic_planet_or_special,amenity,Gigastructural Engineering & More (4.4),common\buildings\giga_corrona_buildings.txt
building_giga_ezic_capital,agri_world,2.0,after_event_flag,event_flag;not_build_plan_candidate,no,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,,,ezic_age,,yes,building_giga_ezic_capital,building_giga_ezic_capital,generic_planet_or_special,government,Gigastructural Engineering & More (4.4),common\buildings\giga_flusion_buildings.txt
building_hive_primitive_farm,agri_world,30.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,atomic_age;early_space_age;industrial_age;machine_age,,yes,building_hive_primitive_farm,building_hive_primitive_farm,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
building_mem_colony_ship_farming_outpost,agri_world,6.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,mem_use_custom_primitive_buildings,,yes,building_mem_colony_ship_farming_outpost,building_mem_colony_ship_farming_outpost,generic_planet_or_special,resource,More Events Mod,common\buildings\mem_colony_ship_buildings.txt
building_mem_colony_ship_shelter,agri_world,9.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,mem_use_custom_primitive_buildings,,yes,building_mem_colony_ship_shelter,building_mem_colony_ship_shelter,generic_planet_or_special,government,More Events Mod,common\buildings\mem_colony_ship_buildings.txt
building_mem_primitive_farm,agri_world,30.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,mem_use_custom_primitive_buildings,,yes,building_mem_primitive_farm,building_mem_primitive_farm,generic_planet_or_special,resource,More Events Mod,common\buildings\mem_primitive_buildings.txt
building_mp_primitive_hunting_grounds,agri_world,6.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,late_purifying_age;purifying_age,,yes,building_mp_primitive_hunting_grounds,building_mp_primitive_hunting_grounds,generic_planet_or_special,research,More Primitives,common\buildings\mp_primitive_buildings.txt
building_mp_underground_farms,agri_world,30.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,dieselpunk_age;pollution_age,,yes,building_mp_underground_farms,building_mp_underground_farms,generic_planet_or_special,resource,More Primitives,common\buildings\mp_primitive_buildings.txt
building_nourishment_center,agri_world,150.0,after_event_flag,event_flag;scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,allow;potential;trigger,,nourishment_complex_can_build,,yes,building_nourishment_center,building_nourishment_center,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
building_nourishment_complex,agri_world,40.0,after_event_flag,event_flag;scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,allow;potential;trigger,,nourishment_complex_can_build,,no,building_nourishment_center,building_nourishment_complex|building_nourishment_center,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
building_primitive_farm,agri_world,30.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,atomic_age;early_space_age;industrial_age;machine_age,,yes,building_primitive_farm,building_primitive_farm,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
building_baol_organic_plant,agri_world,10.0,after_prerequisite,scripted_potential_allow;technology_prerequisite,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,tech_secrets_baol,potential;trigger,,,,yes,building_baol_organic_plant,building_baol_organic_plant,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\03_resource_buildings.txt
building_food_processing_center,agri_world,15.0,after_prerequisite,scripted_potential_allow;technology_prerequisite,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,tech_food_processing_2,allow;potential;trigger,,,,yes,building_food_processing_center,building_food_processing_center,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\03_resource_buildings.txt
building_food_processing_facility,agri_world,10.0,after_prerequisite,scripted_potential_allow;technology_prerequisite,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,tech_food_processing_1,potential;trigger,,,,no,building_food_processing_center,building_food_processing_facility|building_food_processing_center,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\03_resource_buildings.txt
building_mem_woorskyr_barkfarm,agri_world,5.0,after_prerequisite,not_build_plan_candidate;scripted_potential_allow;technology_prerequisite,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,tech_mem_woorskyr_habitation,potential,,,,yes,building_mem_woorskyr_barkfarm,building_mem_woorskyr_barkfarm,generic_planet_or_special,resource,More Events Mod,common\buildings\mem_scfe_buildings.txt
building_woorskyr_barkfarm,agri_world,5.0,after_prerequisite,scripted_potential_allow;technology_prerequisite,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,tech_woorskyr_bark_farm,allow;potential,,,,yes,building_woorskyr_barkfarm,building_woorskyr_barkfarm,generic_planet_or_special,resource,Forgotten Empires 4.4.1,common\buildings\scfe_buildings.txt
building_aspmod_primitive_farm,agri_world,30.0,base_available,not_build_plan_candidate,no,yes,no,,0.0,,base_available,,,,,,yes,building_aspmod_primitive_farm,building_aspmod_primitive_farm,generic_planet_or_special,resource,Archaeology Story Pack 4.4.1,common\buildings\aspmod_buildings.txt
building_bio_reprocessing_facilities,agri_world,17.0,conditional_scripted,scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential;trigger,,,,yes,building_bio_reprocessing_facilities,building_bio_reprocessing_facilities,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt
building_food_conglomerate,agri_world,10.0,conditional_scripted,scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential;trigger,,,,yes,building_food_conglomerate,building_food_conglomerate,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt
building_giga_aeternum_ultrafarm,agri_world,150.0,conditional_scripted,not_build_plan_candidate;scripted_potential_allow,no,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,,,yes,building_giga_aeternum_ultrafarm,building_giga_aeternum_ultrafarm,generic_planet_or_special,resource,Gigastructural Engineering & More (4.4),common\buildings\giga_aeternum_buildings.txt
building_giga_interstellar_hydroponic_farm,agri_world,92.0,conditional_scripted,scripted_potential_allow,yes,yes,no,building_low_tech_farm,40.0,same_role_available_before_target_unlock,fallback_available,,potential,,,,yes,building_giga_interstellar_hydroponic_farm,building_giga_interstellar_hydroponic_farm,generic_planet_or_special,resource,Gigastructural Engineering & More (4.4),common\buildings\giga_buildings.txt
building_giga_paluush_homes,agri_world,6.0,conditional_scripted,scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,,,yes,building_giga_paluush_homes,building_giga_paluush_homes,generic_planet_or_special,amenity,Gigastructural Engineering & More (4.4),common\buildings\giga_buildings.txt
building_low_tech_farm,agri_world,40.0,conditional_scripted,scripted_potential_allow,yes,yes,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,,,yes,building_low_tech_farm,building_low_tech_farm,generic_planet_or_special,resource,Stellaris vanilla,common\buildings\16_first_contact_buildings.txt
building_mp_primitive_big_farms,agri_world,12.0,conditional_scripted,not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,,,yes,building_mp_primitive_big_farms,building_mp_primitive_big_farms,generic_planet_or_special,resource,More Primitives,common\buildings\mp_primitive_buildings.txt
building_mp_primitive_snowpiercer_train,agri_world,6.0,conditional_scripted,not_build_plan_candidate;scripted_potential_allow,no,no,no,building_giga_interstellar_hydroponic_farm,92.0,same_role_available_before_target_unlock,fallback_available,,potential,,,,yes,building_mp_primitive_snowpiercer_train,building_mp_primitive_snowpiercer_train,generic_planet_or_special,unity,More Primitives,common\buildings\mp_primitive_buildings.txt
building_affluence_center,factory_world,35.0,after_event_flag,event_flag;scripted_potential_allow,yes,yes,no,building_junkheap,10.0,same_role_available_before_target_unlock,fallback_available,,allow;potential;trigger,,affluence_emporium_can_build;cosmogenesis_aborted,,yes,building_affluence_center,building_affluence_center,generic_planet_or_special,manufacturing,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
building_mem_colony_ship_industrial_outpost,factory_world,4.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_junkheap,10.0,same_role_available_before_target_unlock,fallback_available,,potential,,mem_use_custom_primitive_buildings,,yes,building_mem_colony_ship_industrial_outpost,building_mem_colony_ship_industrial_outpost,generic_planet_or_special,manufacturing,More Events Mod,common\buildings\mem_colony_ship_buildings.txt
building_mem_primitive_factory,factory_world,4.0,after_event_flag,event_flag;not_build_plan_candidate;scripted_potential_allow,no,no,no,building_junkheap,10.0,same_role_available_before_target_unlock,fallback_available,,potential,,mem_use_custom_primitive_buildings,,yes,building_mem_primitive_factory,building_mem_primitive_factory,generic_planet_or_special,manufacturing,More Events Mod,common\buildings\mem_primitive_buildings.txt
building_factory_efficiency_1,factory_world,10.0,after_prerequisite,scripted_potential_allow;technology_prerequisite,yes,yes,no,building_junkheap,10.0,same_role_available_before_target_unlock,fallback_available,tech_luxuries_2,potential;trigger,,,,yes,building_factory_efficiency_1,building_factory_efficiency_1,generic_planet_or_special,manufacturing,Stellaris vanilla,common\buildings\04_manufacturing_buildings.txt
building_aspmod_primitive_factory,factory_world,4.0,base_available,not_build_plan_candidate,no,yes,no,,0.0,,base_available,,,,,,yes,building_aspmod_primitive_factory,building_aspmod_primitive_factory,generic_planet_or_special,manufacturing,Archaeology Story Pack 4.4.1,common\buildings\aspmod_buildings.txt
