scenario_id,project_id,lane,base_priority,one_time_cost_json,budget_cost_json,influence_cost,queue,queue_slots,slot_cost_json,job_cost_json,duration_months,completion_income_json,completion_upkeep_json,required_gates,forbidden_gates,add_gates,remove_gates,strategic_resource,repeatable,legal,consumer_surface,emergency_class,parent_provenance,parent_winner_verified
rich_opening,rich_colony,colonization,90,"{""alloys"":20}","{""construction"":20}",0,shipyard,1,{}, {},2,{}, {},ordinary_state,,,,,false,true,colony ship and colony target,growth,active parent colony planner,true
rich_opening,rich_outpost,expansion,80,"{""alloys"":10}","{""construction"":10}",20,constructor,1,{}, {},1,{}, {},ordinary_state,,,,,false,true,constructor outpost,growth,active parent expansion planner,true
rich_opening,rich_planet_building,planetary_development,85,"{""minerals"":50}","{""construction"":50}",0,planetary,1,"{""building"":1}","{""worker"":1}",2,{}, {},ordinary_state,,,,,false,true,planet building and queue,growth,active parent planetary construction,true
rich_opening,rich_research_lab,research,100,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""research"":10}","{""consumer_goods"":1,""energy"":1}",ordinary_state,,,,,false,true,research-designated colony,growth,active parent research construction,true
rich_opening,rich_new_hulls,new_hulls,95,"{""alloys"":100}","{""military"":100}",0,shipyard,1,{}, {},2,{}, {},ordinary_state,,,,,false,true,new fleet hulls,growth,active parent military construction,true
rich_opening,rich_upgrades,upgrades,75,"{""alloys"":50}","{""military"":50}",0,shipyard,1,{}, {},1,{}, {},ordinary_state,,,,,false,true,fleet upgrades and reinforcement,maintenance,active parent fleet manager,true
rich_opening,rich_claim,claims,70,{}, {},20,,1,{}, {},1,{}, {},ordinary_state,,,,,false,true,legal claim opportunity,growth,active parent claim planner,true
rich_opening,rich_defense,defense,90,"{""alloys"":80}","{""military"":80}",0,starbase,1,{}, {},2,{}, {},ordinary_state,,,,,false,true,starbase and defense construction,prevention,active parent defense planner,true
rich_opening,rich_war_preparation,war_preparation,65,{}, {},0,,1,{}, {},1,{}, {},ordinary_state,,,,,false,true,legal target and readiness transition,prevention,active parent war planner,true
rich_opening,rich_gas_producer,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}","{""energy"":1}",ordinary_state,,,,exotic_gases,true,true,gas refinery candidate,emergency,active parent producer winner,true
rich_opening,rich_market_bridge,market_bridge,30,"{""energy"":100}",{},0,,1,{}, {},1,{}, {},ordinary_state,,,,,false,true,native market bridge,maintenance,active parent market behavior,true
rich_opening,rich_megastructure,megastructure,60,"{""alloys"":200}","{""megastructure"":200}",50,megastructure,1,{}, {},12,{},"{""energy"":200}",ordinary_state,,,,,false,true,long-duration megastructure upkeep horizon guard,growth,active parent megastructure planner,true
low_capacity_low_use,low_use_research,research,100,"{""minerals"":60}","{""construction"":60}",0,planetary,1,{}, {},1,{}, {},ordinary_state,,,,,true,true,research construction,growth,active parent research construction,true
low_capacity_low_use,low_use_gas,strategic_producer,10,"{""minerals"":60}","{""construction"":60}",0,planetary,1,{}, {},1,"{""exotic_gases"":1}",{},ordinary_state,,,,exotic_gases,true,true,gas producer candidate,emergency,active parent producer winner,true
research_gas_deficit,research_lane,research,100,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""research"":10}","{""consumer_goods"":1}",research_designation,,,,,false,true,research-designated colony,growth,active parent research construction,true
research_gas_deficit,gas_recovery_lane,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}","{""energy"":1}",research_designation,,,,exotic_gases,false,true,legal gas refinery,emergency,active parent producer winner,true
threat_strategic_deficit,threat_defense,defense,150,"{""alloys"":80}","{""military"":80}",0,starbase,1,{}, {},2,{}, {},threat_active,,,,,false,true,threat-required defense,emergency,active parent defense planner,true
threat_strategic_deficit,threat_hulls,new_hulls,140,"{""alloys"":100}","{""military"":100}",0,shipyard,1,{}, {},2,{}, {},threat_active,,,,,false,true,threat-required fleet hulls,emergency,active parent military construction,true
threat_strategic_deficit,threat_gas,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}","{""energy"":1}",threat_active,,,,exotic_gases,false,true,bounded gas refinery,emergency,active parent producer winner,true
influence_sharing,share_outpost,expansion,80,"{""alloys"":10}","{""diplomacy"":10}",50,constructor,1,{}, {},1,{}, {},legal_targets,,,,,false,true,legal outpost,growth,active parent expansion planner,true
influence_sharing,share_claim,claims,75,{},"{""diplomacy"":10}",50,,1,{}, {},1,{}, {},legal_targets,,,,,false,true,legal claim,growth,active parent claim planner,true
habitat_non_veto,colonize_existing_habitat,colonization,100,"{""alloys"":50}","{""construction"":50}",0,shipyard,1,{}, {},2,{}, {},uncolonized_habitat,,,,,false,true,colonize existing habitat,growth,active parent colony planner,true
habitat_non_veto,start_new_habitat,megastructure,80,"{""alloys"":200}","{""megastructure"":200}",50,megastructure,1,{}, {},12,{}, {},legal_new_habitat_site,,,,,false,true,new habitat site,growth,active parent habitat construction,true
no_legal_producer,blocked_gas_producer,strategic_producer,40,"{""energy"":100}","{""construction"":100}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}",{},market_access,,,,exotic_gases,false,false,no legal producer exists,emergency,parent producer legality,false
no_legal_producer,native_market_bridge,market_bridge,70,"{""energy"":100}",{},0,,1,{}, {},1,{}, {},market_access,,,,,true,true,native market purchase bridge,emergency,active parent market behavior,true
failed_c9_collateral,c9_research_lab,research,100,"{""minerals"":60}","{""construction"":60}",0,planetary,1,{}, {},1,{}, {},research_designation,,,,,true,true,research-designated construction,growth,active parent research construction,true
failed_c9_collateral,c9_gas_overreaction,strategic_producer,10,"{""minerals"":60}","{""construction"":60}",0,planetary,1,{}, {},1,"{""exotic_gases"":1}",{},research_designation,,,,exotic_gases,true,true,unneeded gas producer,optional_surplus,c9da19b3 failed policy,true
research_motes_deficit,motes_research_lane,research,100,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""research"":10}","{""consumer_goods"":1}",research_designation,,,,,false,true,research-designated colony,growth,active parent research construction,true
research_motes_deficit,motes_recovery_lane,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""volatile_motes"":1}","{""energy"":1}",research_designation,,,,volatile_motes,false,true,legal motes plant,emergency,active parent producer winner,true
defense_crystals_deficit,crystals_defense_lane,defense,150,"{""alloys"":80}","{""military"":80}",0,starbase,1,{}, {},2,{}, {},threat_active,,,,,false,true,threat-required defense,emergency,active parent defense planner,true
defense_crystals_deficit,crystals_recovery_lane,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""rare_crystals"":1}","{""energy"":1}",threat_active,,,,rare_crystals,false,true,legal crystal plant,emergency,active parent producer winner,true
pending_gas_full_commitment,pending_full_gas_candidate,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}","{""energy"":1}",ordinary_state,,,,exotic_gases,false,true,duplicate gas recovery candidate,emergency,active parent producer winner,true
pending_gas_fractional_commitment,pending_fractional_gas_candidate,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}","{""energy"":1}",ordinary_state,,,,exotic_gases,false,true,residual gas recovery candidate,emergency,active parent producer winner,true
pending_gas_slow_commitment,pending_slow_gas_candidate,strategic_producer,40,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",2,"{""exotic_gases"":1}","{""energy"":1}",ordinary_state,,,,exotic_gases,false,true,near-term gas recovery candidate,emergency,active parent producer winner,true
pending_consumer_runway,pending_consumer_research_candidate,research,100,"{""minerals"":60}","{""construction"":60}",0,planetary,1,"{""building"":1}","{""specialist"":1}",1,"{""research"":10}","{""energy"":1,""consumer_goods"":1}",research_designation,,,,,false,true,research candidate exposed to pending upkeep,growth,active parent research construction,true
