object_type,object_id,winning_load_position,winning_mod_id,winning_mod_name,winning_file,definition_count,source_mods,source_files,category,build_cost_json,build_cost_value_estimate,upkeep_json,monthly_upkeep_value_estimate,jobs_created_json,jobs_created_total_estimate,direct_monthly_output_json,direct_monthly_output_value_estimate,modifier_keys,modifier_monthly_value_estimate,gross_monthly_value_estimate,net_monthly_value_estimate,roi_2200_to_2350_estimate,roi_2250_to_2350_estimate,roi_2300_to_2350_estimate,roi_2325_to_2350_estimate,upgrades_json,ai_state_json,prerequisites_json,modifiers_json,building_zone_district_sets_json,data_quality_flags,unresolved_variables,source_numeric_facts_json,source_numeric_facts_hash,top_level_keys,nested_resources_blocks,nested_ai_weight_blocks,nested_modifier_blocks,referenced_unlocks_or_flags,referenced_technologies,referenced_deposits,referenced_jobs_or_modifiers
building,aesthetic_wonders_holomuseum,0,vanilla,Stellaris vanilla,common\buildings\21_grand_archive_buildings.txt,1,Stellaris vanilla,common\buildings\21_grand_archive_buildings.txt,amenity,{},0,"{""energy"":2.0}",0.5,"{""job_entertainer"":200.0,""job_evaluator"":800.0}",1000.0,{},0,job_entertainer_add|job_evaluator_add|planet_entertainers_consumer_goods_upkeep_add|planet_entertainers_physics_research_produces_add|planet_entertainers_unity_produces_add|planet_evaluators_minerals_upkeep_add|planet_evaluators_physics_research_produces_add|planet_evaluators_unity_produces_add,24.0,6024.0,6023.5,10842300.0,7228200.0,3614100.0,1807050.0,[],{},"{""potential"":[{""owner"":[{""has_country_flag"":""received_collection_stage_2_reward_aesthetic_wonder""}]}]}","{""country_modifier"":[{""aesthetic_wonder_specimens_produces_mult"":""@holomuseum_specimen_produces_mult""}],""triggered_planet_modifier"":[{""potential"":[{""exists"":""owner""},{""owner"":[{""is_gestalt"":""yes""},{""has_ascension_perk"":""ap_archaeoengineers""}]}]},{""job_evaluator_add"":""@building_static_jobs_high""},{""planet_evaluators_unity_produces_add"":""0.25""},{""planet_evaluators_physics_research_produces_add"":""0.25""}]}","{""building_sets"":[""government"",""urban"",""research"",""resort""]}",ai_weight_absent|has_jobs|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b1_time"",""value"":360},{""path"":""empire_limit"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""resources.inline_script.COST"",""source"":""variable"",""token"":""@b1_minerals"",""value"":400},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.cost.biomass"",""source"":""variable"",""token"":""@b2_biomass"",""value"":200},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b1_upkeep"",""value"":2},{""path"":""country_modifier.aesthetic_wonder_specimens_produces_mult"",""source"":""variable"",""token"":""@holomuseum_specimen_produces_mult"",""value"":0.15},{""path"":""triggered_country_modifier.aesthetic_wonder_specimens_produces_mult"",""source"":""variable"",""token"":""@holomuseum_specimen_produces_mult"",""value"":0.15},{""path"":""inline_script.AMOUNT"",""source"":""variable"",""token"":""@building_static_jobs"",""value"":200},{""path"":""triggered_planet_modifier.planet_entertainers_unity_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.planet_entertainers_physics_research_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.planet_entertainers_consumer_goods_upkeep_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.job_entertainer_add"",""source"":""variable"",""token"":""@building_static_jobs"",""value"":200},{""path"":""triggered_planet_modifier.planet_entertainers_unity_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.planet_entertainers_physics_research_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.job_evaluator_add"",""source"":""variable"",""token"":""@building_static_jobs_high"",""value"":400},{""path"":""triggered_planet_modifier.planet_evaluators_unity_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.planet_evaluators_physics_research_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.planet_evaluators_minerals_upkeep_add"",""source"":""literal"",""token"":""0.5"",""value"":0.5},{""path"":""triggered_planet_modifier.job_evaluator_add"",""source"":""variable"",""token"":""@building_static_jobs_high"",""value"":400},{""path"":""triggered_planet_modifier.planet_evaluators_unity_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25},{""path"":""triggered_planet_modifier.planet_evaluators_physics_research_produces_add"",""source"":""literal"",""token"":""0.25"",""value"":0.25}]",6a1b03f4676853b66a9a975039f2f6718f6784a73f068e6a214d783ac6042995,base_buildtime|building_sets|category|country_modifier|empire_limit|inline_script|potential|resources|triggered_country_modifier|triggered_desc|triggered_planet_modifier,1,0,0,none,none,none,job_entertainer_add|job_evaluator_add|planet_buildings|planet_entertainers_consumer_goods_upkeep_add|planet_entertainers_physics_research_produces_add|planet_entertainers_unity_produces_add|planet_evaluators_minerals_upkeep_add|planet_evaluators_physics_research_produces_add|planet_evaluators_unity_produces_add
building,building_abandoned_gene_clinic,0,vanilla,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt,1,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt,amenity,{},0,{},0,{},0,{},0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],{},"{""allow"":[{""owner"":[{""has_origin"":""origin_synthetic_fertility""}]}],""potential"":[{""exists"":""owner""},{""owner"":[{""has_origin"":""origin_synthetic_fertility""}]}]}",{},"{""building_sets"":[""government""]}",ai_weight_absent,none,"[{""path"":""position_priority"",""source"":""literal"",""token"":""100"",""value"":100}]",5a0db376dfa255b665cf962ce19f9b01322a0895dcf03cd314dbef2112b1e8d5,allow|building_sets|can_build|can_demolish|category|destroy_trigger|icon|position_priority|potential|triggered_desc,0,0,0,none,none,none,none
building,building_adakkaria_patriotic_institute,0,vanilla,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,1,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,resource,"{""sr_zro"":20.0}",160.0,"{""energy"":5.0}",1.25,{},0,{},0,planet_limit,0.0,0.0,-1.25,-2410.0,-1660.0,-910.0,-535.0,[],{},"{""potential"":[{""exists"":""owner""},{""owner"":[{""has_country_flag"":""adakkaria_world_found""}]},{""has_carrier_flag"":""adSul_capital""}]}","{""country_modifier"":[{""ship_shield_damage_mult"":""0.1""}]}","{""building_sets"":[""government"",""research"",""physics"",""society"",""engineering""]}",ai_weight_absent|has_build_cost|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b3_time"",""value"":600},{""path"":""planet_limit"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""country_modifier.ship_shield_damage_mult"",""source"":""literal"",""token"":""0.1"",""value"":0.1},{""path"":""inline_script.AMOUNT"",""source"":""literal"",""token"":""1200"",""value"":1200},{""path"":""resources.inline_script.COST"",""source"":""variable"",""token"":""@b2_minerals"",""value"":600},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.cost.sr_zro"",""source"":""literal"",""token"":""20"",""value"":20},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b2_upkeep"",""value"":5}]",412af60ba09f4d9ea5c13e374f5212dc97cdf4f1a62c5df617ac5db78c4d59b4,base_buildtime|building_sets|can_be_disabled|can_build|can_demolish|category|country_modifier|inline_script|on_built|on_destroy|planet_limit|potential|resources|triggered_desc,1,0,0,none,none,none,planet_buildings|planet_limit
building,building_advanced_storm_attraction_center,0,vanilla,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,1,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,research,"{""rare_crystals"":50.0}",200.0,"{""energy"":2.0,""rare_crystals"":2.25}",9.5,{},0,{},0,planet_modifier,0.0,0.0,-9.5,-17300.0,-11600.0,-5900.0,-3050.0,[],{},"{""allow"":[{""custom_tooltip"":[{""fail_text"":""storm_attracting_allow""},{""solar_system?"":[{""system_has_storm_repelling_tech"":""no""}]}]}],""potential"":[{""exists"":""owner""},{""owner"":[{""is_wilderness_empire"":""no""}]}],""prerequisites"":[""tech_advanced_storm_manipulation""],""show_tech_unlock_if"":[{""is_wilderness_empire"":""no""}]}","{""planet_modifier"":[{""storm_attraction_field_modifier"":""0.6""}]}","{""building_sets"":[""research"",""physics""]}",ai_weight_absent|has_build_cost|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b2_time"",""value"":480},{""path"":""resources.inline_script.COST"",""source"":""variable"",""token"":""@b2_minerals"",""value"":600},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.cost.rare_crystals"",""source"":""literal"",""token"":""50"",""value"":50},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b1_upkeep"",""value"":2},{""path"":""resources.upkeep.rare_crystals"",""source"":""literal"",""token"":""2.25"",""value"":2.25},{""path"":""planet_modifier.storm_attraction_field_modifier"",""source"":""literal"",""token"":""0.6"",""value"":0.6},{""path"":""inline_script.AMOUNT"",""source"":""variable"",""token"":""@b2_jobs"",""value"":400},{""path"":""custom_storm_ai_weight.weight"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""custom_storm_ai_weight.modifier.add"",""source"":""literal"",""token"":""10"",""value"":10}]",6a5bc5a24e54686140857cf258ae7fc94a3336a6de0d354642c79f0d44413a4d,allow|base_buildtime|building_sets|can_build|category|custom_storm_ai_weight|custom_tooltip|inline_script|planet_modifier|potential|prerequisites|resources|show_tech_unlock_if,1,0,1,none,tech_advanced_storm_manipulation,none,planet_buildings_storm_tech|planet_modifier
building,building_advanced_storm_repellent_center,0,vanilla,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,1,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,research,"{""rare_crystals"":50.0}",200.0,"{""energy"":2.0,""rare_crystals"":2.25}",9.5,{},0,{},0,planet_modifier,0.0,0.0,-9.5,-17300.0,-11600.0,-5900.0,-3050.0,[],{},"{""prerequisites"":[""tech_advanced_storm_manipulation""]}","{""planet_modifier"":[{""storm_repelling_field_modifier"":""0.6""}]}","{""building_sets"":[""research"",""physics""]}",ai_weight_absent|has_build_cost|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b2_time"",""value"":480},{""path"":""resources.inline_script.COST"",""source"":""variable"",""token"":""@b2_minerals"",""value"":600},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.cost.rare_crystals"",""source"":""literal"",""token"":""50"",""value"":50},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b1_upkeep"",""value"":2},{""path"":""resources.upkeep.rare_crystals"",""source"":""literal"",""token"":""2.25"",""value"":2.25},{""path"":""inline_script.AMOUNT"",""source"":""variable"",""token"":""@b2_jobs"",""value"":400},{""path"":""planet_modifier.storm_repelling_field_modifier"",""source"":""literal"",""token"":""0.6"",""value"":0.6}]",b303240b4c1b24a139f9e5eeff4c9793a86a3219a2793db4edbb93fe062094be,base_buildtime|building_sets|can_build|category|custom_tooltip|inline_script|planet_modifier|prerequisites|resources,1,0,0,none,tech_advanced_storm_manipulation,none,planet_buildings_storm_tech|planet_modifier
building,building_advanced_storm_resistant_production,0,vanilla,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,1,Stellaris vanilla,common\buildings\19_cosmic_storm_buildings.txt,resource,"{""rare_crystals"":50.0}",200.0,"{""energy"":10.0}",2.5,{},0,{},0,planet_farmers_food_produces_add|planet_farmers_produces_mult|planet_miners_minerals_produces_add|planet_miners_produces_mult|planet_technician_energy_produces_add|planet_technician_produces_mult,18.0,18.0,15.5,27700.0,18400.0,9100.0,4450.0,[],{},"{""potential"":[{""exists"":""owner""},{""owner"":[{""OR"":[{""is_wilderness_empire"":""no""},{""NOT"":[{""has_origin"":""origin_storm_chasers""}]}]}]},{""if"":[{""limit"":[{""owner"":[{""is_ai"":""yes""}]}]},{""solar_system?"":[{""system_has_storm_repelling_tech"":""no""}]}]}],""prerequisites"":[""tech_advanced_industrial_storm_protection""]}","{""triggered_planet_modifier"":[{""potential"":[{""exists"":""owner""},{""owner"":[{""is_galactic_community_member"":""yes""}]}]},{""modifier"":[{""planet_miners_produces_mult"":""1""},{""planet_farmers_produces_mult"":""1""},{""planet_technician_produces_mult"":""1""}]},{""mult"":""value:storm_building_production_multiplier""}]}","{""building_sets"":[""urban"",""generator"",""mining"",""farming""]}",ai_weight_absent|has_build_cost|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b2_time"",""value"":480},{""path"":""resources.inline_script.COST"",""source"":""variable"",""token"":""@b2_minerals"",""value"":600},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.cost.rare_crystals"",""source"":""variable"",""token"":""@b2_rare_cost"",""value"":50},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b2_upkeep"",""value"":5},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b2_upkeep"",""value"":5},{""path"":""triggered_planet_modifier.modifier.planet_miners_minerals_produces_add"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""triggered_planet_modifier.modifier.planet_farmers_food_produces_add"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""triggered_planet_modifier.modifier.planet_technician_energy_produces_add"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""inline_script.AMOUNT"",""source"":""variable"",""token"":""@building_static_jobs"",""value"":200},{""path"":""triggered_planet_modifier.modifier.planet_miners_produces_mult"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""triggered_planet_modifier.modifier.planet_farmers_produces_mult"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""triggered_planet_modifier.modifier.planet_technician_produces_mult"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""custom_storm_ai_weight.weight"",""source"":""literal"",""token"":""0"",""value"":0},{""path"":""custom_storm_ai_weight.modifier.add"",""source"":""literal"",""token"":""2"",""value"":2},{""path"":""custom_storm_ai_weight.modifier.AND.owner.$atom"",""source"":""literal"",""token"":""3"",""value"":3}]",b6b076df6fa87a1100f70d0b6dd3b3cc67f49911f74a5064374e9e7f2b2dfeee,base_buildtime|building_sets|can_build|category|custom_storm_ai_weight|custom_tooltip|destroy_trigger|inline_script|potential|prerequisites|resources|triggered_planet_modifier,1,0,3,none,tech_advanced_industrial_storm_protection,none,planet_buildings_storm_tech|planet_farmers_food_produces_add|planet_farmers_produces_mult|planet_miners_minerals_produces_add|planet_miners_produces_mult|planet_technician_energy_produces_add|planet_technician_produces_mult
building,building_affluence_center,0,vanilla,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt,1,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt,manufacturing,"{""alloys"":2500.0}",2500.0,"{""alloys"":5.0,""energy"":30.0}",12.5,{},0,"{""consumer_goods"":35.0}",26.25,job_artisan_automated_workforce_mult|job_artisan_drone_automated_workforce_mult|planet_amenities_add|planet_building_build_speed_mult|planet_decision_enact_speed_mult|planet_limit|planet_modifier|pop_group,3.0,29.25,16.75,27650.0,17600.0,7550.0,2525.0,[],{},"{""allow"":[{""custom_tooltip"":[{""fail_text"":""ancrel.10004.failtext""},{""exists"":""owner""},{""owner"":[{""OR"":[{""check_variable"":[{""which"":""affluence_emporium_upgrade_count""},""value"","">="",""1""]},{""is_fallen_empire"":""yes""},{""has_technology"":""tech_fe_affluence_2""}]}]}]},{""custom_tooltip"":[{""fail_text"":""cosmogenesis_aborted_tt""},{""NOT"":[{""owner"":[{""has_country_flag"":""cosmogenesis_aborted""}]}]}]}],""potential"":[{""exists"":""owner""},{""owner"":[{""OR"":[{""is_fallen_empire"":""yes""},{""has_technology"":""tech_fe_affluence_2""},{""has_country_flag"":""affluence_emporium_can_build""}]}]},{""NOR"":[{""has_modifier"":""resort_colony""},{""has_modifier"":""slave_colony""},{""has_modifier"":""penal_colony""}]}]}","{""planet_modifier"":[{""planet_amenities_add"":""1000""}],""triggered_planet_modifier"":[{""potential"":[{""exists"":""owner""},{""owner"":[{""is_wilderness_empire"":""no""}]}]},{""job_artisan_automated_workforce_mult"":""@fe_automation_specialist_2""},{""job_artisan_drone_automated_workforce_mult"":""@fe_automation_specialist_2""}]}","{""building_sets"":[""fallen_empire"",""industrial"",""factory""]}",ai_weight_absent|has_ai_or_direct_output|has_build_cost|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b4_time"",""value"":900},{""path"":""planet_limit"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""allow.custom_tooltip.owner.OR.check_variable.$atom"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""resources.produces.consumer_goods"",""source"":""literal"",""token"":""35"",""value"":35},{""path"":""resources.cost.alloys"",""source"":""variable"",""token"":""@fe_alloy_cost_2"",""value"":2500},{""path"":""resources.cost.sr_living_metal"",""source"":""variable"",""token"":""@fe_rr_cost_2"",""value"":80},{""path"":""resources.upkeep.sr_living_metal"",""source"":""variable"",""token"":""@fe_rr_upkeep_2"",""value"":2},{""path"":""resources.upkeep.alloys"",""source"":""variable"",""token"":""@b3_alloy_upkeep"",""value"":5},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@fe_energy_upkeep_2"",""value"":30},{""path"":""resources.cost.biomass"",""source"":""variable"",""token"":""@b3_biomass"",""value"":400},{""path"":""triggered_planet_modifier.planet_building_build_speed_mult"",""source"":""literal"",""token"":""0.03"",""value"":0.03},{""path"":""triggered_planet_modifier.planet_decision_enact_speed_mult"",""source"":""literal"",""token"":""0.03"",""value"":0.03},{""path"":""planet_modifier.planet_amenities_add"",""source"":""literal"",""token"":""1000"",""value"":1000},{""path"":""inline_script.AMOUNT"",""source"":""variable"",""token"":""@fe_jobs"",""value"":600},{""path"":""on_queued.owner.subtract_variable.value"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""on_unqueued.owner.change_variable.value"",""source"":""literal"",""token"":""1"",""value"":1}]",f82244522870f538393c91f6e7bae17fff7ce57c62f165fcef5c2e91e76cc048,allow|base_buildtime|building_sets|can_build|category|destroy_trigger|icon|inline_script|on_queued|on_unqueued|planet_limit|planet_modifier|potential|resources|show_in_tech|triggered_planet_modifier,1,0,0,none,tech_fe_affluence_2,none,job_artisan_automated_workforce_mult|job_artisan_drone_automated_workforce_mult|planet_amenities_add|planet_building_build_speed_mult|planet_buildings|planet_decision_enact_speed_mult|planet_limit|planet_modifier|pop_group|pop_group_size
building,building_affluence_emporium,0,vanilla,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt,1,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt,manufacturing,"{""alloys"":1500.0}",1500.0,"{""alloys"":3.0,""energy"":15.0}",6.75,{},0,{},0,job_artisan_automated_workforce_mult|job_artisan_drone_automated_workforce_mult|planet_building_build_speed_mult|planet_decision_enact_speed_mult|planet_limit|pop_group,0.0,0.0,-6.75,-13650.0,-9600.0,-5550.0,-3525.0,"[""building_affluence_center""]",{},"{""allow"":[{""custom_tooltip"":[{""fail_text"":""ancrel.10004.failtext""},{""owner"":[{""OR"":[{""check_variable"":[{""which"":""affluence_emporium_build_count""},""value"","">="",""1""]},{""is_fallen_empire"":""yes""},{""has_technology"":""tech_fe_affluence_1""}]}]}]}],""potential"":[{""exists"":""owner""},{""owner"":[{""OR"":[{""is_fallen_empire"":""yes""},{""has_country_flag"":""affluence_emporium_can_build""},{""has_technology"":""tech_fe_affluence_1""}]},{""is_hive_empire"":""no""}]},{""NOR"":[{""has_modifier"":""resort_colony""},{""has_modifier"":""slave_colony""},{""has_modifier"":""penal_colony""}]}]}","{""triggered_planet_modifier"":[{""potential"":[{""exists"":""owner""},{""owner"":[{""is_wilderness_empire"":""no""}]}]},{""job_artisan_automated_workforce_mult"":""@fe_automation_specialist_1""},{""job_artisan_drone_automated_workforce_mult"":""@fe_automation_specialist_1""}]}","{""building_sets"":[""fallen_empire"",""industrial"",""factory""]}",ai_weight_absent|has_build_cost|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b3_time"",""value"":600},{""path"":""planet_limit"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""allow.custom_tooltip.owner.OR.check_variable.$atom"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""resources.cost.alloys"",""source"":""variable"",""token"":""@fe_alloy_cost_1"",""value"":1500},{""path"":""resources.cost.sr_living_metal"",""source"":""variable"",""token"":""@fe_rr_cost_1"",""value"":50},{""path"":""resources.upkeep.sr_living_metal"",""source"":""variable"",""token"":""@fe_rr_upkeep_1"",""value"":1},{""path"":""resources.upkeep.alloys"",""source"":""variable"",""token"":""@b2_alloy_upkeep"",""value"":3},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@fe_energy_upkeep_1"",""value"":15},{""path"":""resources.cost.biomass"",""source"":""variable"",""token"":""@b3_biomass"",""value"":400},{""path"":""triggered_planet_modifier.planet_building_build_speed_mult"",""source"":""literal"",""token"":""0.03"",""value"":0.03},{""path"":""triggered_planet_modifier.planet_decision_enact_speed_mult"",""source"":""literal"",""token"":""0.03"",""value"":0.03},{""path"":""inline_script.AMOUNT"",""source"":""variable"",""token"":""@fe_jobs"",""value"":600},{""path"":""on_queued.owner.subtract_variable.value"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""on_unqueued.owner.change_variable.value"",""source"":""literal"",""token"":""1"",""value"":1}]",43fe374221bfb50ddfd8272c7f54d1f652f5681149e731e9bd61d28d0682e5a4,allow|base_buildtime|building_sets|can_build|can_demolish|category|destroy_trigger|icon|inline_script|on_queued|on_unqueued|planet_limit|potential|resources|show_in_tech|triggered_planet_modifier|upgrades,1,0,0,none,tech_fe_affluence_1,none,job_artisan_automated_workforce_mult|job_artisan_drone_automated_workforce_mult|planet_building_build_speed_mult|planet_buildings|planet_decision_enact_speed_mult|planet_limit|pop_group|pop_group_size
building,building_ai_emporium,0,vanilla,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,1,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt,resource,{},0,{},0,"{""job_roboticist"":100.0}",100.0,"{""energy"":10.0,""physics_research"":10.0}",10.0,job_roboticist_add|job_roboticist_branch_office_value_mult|planet_crime_add|planet_crime_floor_add|planet_limit,9.0,619.0,619.0,1114200.0,742800.0,371400.0,185700.0,[],"{""ai_weight"":[{""weight"":""2""},{""modifier"":[{""weight"":""0.5""},{""branch_office_owner"":[{""has_monthly_income"":[{""resource"":""energy""},""value"","">"",""50""]}]}]}]}","{""allow"":[{""custom_tooltip"":[{""fail_text"":""building_ai_emporium_fail_tt""},{""planet.owner"":[{""NOT"":[{""any_owned_planet"":[{""has_branch_office"":""yes""},{""has_holding"":[{""holding"":""building_ai_emporium""},{""owner"":""root.branch_office_owner""}]}]}]}]}]},{""custom_tooltip"":[{""fail_text"":""building_ai_emporium_outlawed_robots_tt""},{""planet.owner"":[{""NOT"":[{""has_policy_flag"":""robots_outlawed""}]}]}]}],""potential"":[{""has_branch_office"":""yes""},{""branch_office_owner"":[{""is_synth_corporate"":""yes""},{""has_country_flag"":""synth_physical""}]}]}","{""triggered_planet_modifier"":[{""potential"":[{""branch_office_owner"":[{""is_criminal_syndicate"":""yes""}]}]},{""planet_crime_floor_add"":""@crime_floor_from_legal_crime""}]}",{},ai_weight_zero_or_gated_zero|has_ai_or_direct_output|has_jobs|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""variable"",""token"":""@b2_time"",""value"":480},{""path"":""planet_limit"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""triggered_planet_modifier.job_roboticist_branch_office_value_mult"",""source"":""literal"",""token"":""0.10"",""value"":0.1},{""path"":""triggered_planet_modifier.job_roboticist_add"",""source"":""literal"",""token"":""100"",""value"":100},{""path"":""triggered_planet_modifier.planet_crime_add"",""source"":""literal"",""token"":""25"",""value"":25},{""path"":""resources.inline_script.COST"",""source"":""variable"",""token"":""@b3_minerals"",""value"":800},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.produces.energy"",""source"":""literal"",""token"":""10"",""value"":10},{""path"":""resources.produces.physics_research"",""source"":""literal"",""token"":""10"",""value"":10},{""path"":""ai_weight.weight"",""source"":""literal"",""token"":""2"",""value"":2},{""path"":""ai_weight.modifier.weight"",""source"":""literal"",""token"":""0.5"",""value"":0.5},{""path"":""ai_weight.modifier.branch_office_owner.has_monthly_income.$atom"",""source"":""literal"",""token"":""50"",""value"":50}]",9f19bdcd298681c52658df6fd56537075397f1696eff05a773363b48df3175db,ai_weight|allow|base_buildtime|category|custom_tooltip|on_built|owner_type|planet_limit|potential|resources|triggered_planet_modifier,1,1,1,none,none,none,job_roboticist_add|job_roboticist_branch_office_value_mult|planet_branch_office_buildings|planet_crime_add|planet_crime_floor_add|planet_limit
building,building_akx_worm_3,0,vanilla,Stellaris vanilla,common\buildings\12_event_buildings.txt,1,Stellaris vanilla,common\buildings\12_event_buildings.txt,research,{},0,"{""energy"":8.0}",2.0,{},0,"{""physics_research"":16.0}",12.0,planet_limit,0.0,12.0,10.0,18000.0,12000.0,6000.0,3000.0,[],{},"{""potential"":[{""exists"":""planet""},{""planet"":[{""is_capital"":""yes""}]},{""exists"":""owner""},{""NOT"":[{""has_modifier"":""slave_colony""}]}],""prerequisites"":[""tech_akx_worm_3""]}",{},"{""building_sets"":[""government"",""research"",""physics""]}",ai_weight_absent|has_ai_or_direct_output|has_upkeep|uses_inline_script,none,"[{""path"":""base_buildtime"",""source"":""literal"",""token"":""900"",""value"":900},{""path"":""planet_limit"",""source"":""literal"",""token"":""1"",""value"":1},{""path"":""resources.inline_script.COST"",""source"":""literal"",""token"":""1000"",""value"":1000},{""path"":""resources.inline_script.NOMADIC_COST_MULT"",""source"":""variable"",""token"":""@nomadic_minerals_to_strategic_ratio"",""value"":0.1},{""path"":""resources.upkeep.energy"",""source"":""variable"",""token"":""@b3_upkeep"",""value"":8},{""path"":""resources.produces.physics_research"",""source"":""literal"",""token"":""16"",""value"":16}]",b9e79aafc6fb925c797a2be435a37ef91f7ab081d0db9671cce932f7d276919e,base_buildtime|building_sets|can_be_disabled|can_be_ruined|can_demolish|category|planet_limit|potential|prerequisites|resources,1,0,0,none,tech_akx_worm_3,none,planet_buildings|planet_limit
