phase,mod_id,mod_name,object_type,object_name,source_file,source_exists,source_has_ai_weight,policy_recommendation,priority_band,minimum_v1_intervention,status,reason
P10,3610149307,Stellar AI,building,building_archaeostudies_faculty,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_baol_organic_plant,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_betharian_power_plant,common/buildings/~stellarai_deposit_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_bio_reactor,common/buildings/~stellarai_resource_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_bio_reactor_2,common/buildings/~stellarai_resource_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_biolab_1,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_biolab_2,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_biolab_3,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_chemical_plant,common/buildings/~stellarai_manufacturing_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_crystal_mines,common/buildings/~stellarai_deposit_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_crystal_plant,common/buildings/~stellarai_manufacturing_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,1121692237,Gigastructural Engineering & More (4.4),building,building_defense_nexus_capacity,common/buildings/giga_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,1121692237,Gigastructural Engineering & More (4.4),building,building_defense_nexus_construction,common/buildings/giga_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,1121692237,Gigastructural Engineering & More (4.4),building,building_ehof_sm_forge_1,common/buildings/giga_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,1121692237,Gigastructural Engineering & More (4.4),building,building_ehof_sm_forge_2,common/buildings/giga_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_energy_grid,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_energy_nexus,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_engineering_facility_1,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_engineering_facility_2,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_engineering_facility_3,common/buildings/~stellarai_research_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_factory_1,common/buildings/~stellarai_manufacturing_buildings.txt,yes,no,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_factory_2,common/buildings/~stellarai_manufacturing_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_factory_3,common/buildings/~stellarai_manufacturing_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_farming_districts_1,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_farming_districts_2,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_farming_districts_3,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_farming_districts_4,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_food_processing_center,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
P10,3610149307,Stellar AI,building,building_food_processing_facility,common/buildings/~stellarai_resource_buildings.txt,yes,yes,planetary_capacity_audit,planetary_and_building_capacity,defer_broad_planet_automation_override,deferred,minimum V1 intervention is defer_broad_planet_automation_override
