resource,market_amount,market_price,base_energy_per_unit,min_sell_energy_per_unit_no_fee,max_buy_energy_per_unit_no_fee,base_buy_energy_per_unit_default_fee,floor_sell_energy_per_unit_default_fee,ceiling_buy_energy_per_unit_default_fee
alloys,25.0,100.0,4.0,0.8,20.0,5.2,0.56,26.0
consumer_goods,50.0,100.0,2.0,0.4,10.0,2.6,0.28,13.0
energy,100.0,100.0,1.0,0.2,5.0,1.3,0.14,6.5
exotic_gases,10.0,100.0,10.0,2.0,50.0,13.0,1.4,65.0
food,100.0,100.0,1.0,0.2,5.0,1.3,0.14,6.5
giga_sr_sentient_metal,25.0,100.0,4.0,0.8,20.0,5.2,0.56,26.0
minerals,100.0,100.0,1.0,0.2,5.0,1.3,0.14,6.5
rare_crystals,10.0,100.0,10.0,2.0,50.0,13.0,1.4,65.0
sr_dark_matter,5.0,100.0,20.0,4.0,100.0,26.0,2.8,130.0
sr_living_metal,5.0,100.0,20.0,4.0,100.0,26.0,2.8,130.0
sr_zro,5.0,100.0,20.0,4.0,100.0,26.0,2.8,130.0
volatile_motes,10.0,100.0,10.0,2.0,50.0,13.0,1.4,65.0
