source_artifact,object_type,object_id,issue_type,issue_key,accounting_status,next_action,source_mod,source_file
benefit_taxonomy,,,benefit_formula_status,planet_capacity,not_observed,Define formula/consumer policy or keep source-backed detected-only status.,,
benefit_taxonomy,starbase_building,administration_computers,benefit_formula_status,starbase_support,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Starbase Extended 3.0,common\starbase_buildings\sbx_3_0_buildings.txt
benefit_taxonomy,building,aesthetic_wonders_holomuseum,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\buildings\21_grand_archive_buildings.txt
benefit_taxonomy,starbase_module,anchorage,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_modules\00_starbase_modules.txt
benefit_taxonomy,starbase_building,arkship_alloys_hub,benefit_formula_status,direct_resource_support,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt
benefit_taxonomy,starbase_building,arkship_aura_bombardment,benefit_formula_status,bombardment_resistance,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_component_buildings.txt
benefit_taxonomy,starbase_module,arkship_beastport,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_modules\00_arkship_utility_modules.txt
benefit_taxonomy,starbase_building,arkship_consumer_goods_hub,benefit_formula_status,direct_resource_support,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt
benefit_taxonomy,starbase_module,arkship_docking_bay,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_modules\00_arkship_utility_modules.txt
benefit_taxonomy,starbase_building,arkship_embassy_complex,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt
benefit_taxonomy,starbase_building,arkship_energy_hub,benefit_formula_status,direct_resource_support,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt
benefit_taxonomy,starbase_building,arkship_food_hub,benefit_formula_status,direct_resource_support,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt
benefit_taxonomy,starbase_module,arkship_grand_archive,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_modules\00_arkship_utility_modules.txt
benefit_taxonomy,starbase_building,arkship_resource_silo,benefit_formula_status,empire_country_modifier,detected_unvalued,Define formula/consumer policy or keep source-backed detected-only status.,Stellaris vanilla,common\starbase_buildings\00_arkship_colony_buildings.txt
