case_id,description,country_type,personality_id,ethics,civics,authority,government,origin,personality_source,behaviors,expected_status,expected_primary,expected_secondary,ascension_perks,is_nomadic,is_wilderness,source_ref
purifier,Explicit purifier identity,default,fanatic_purifiers,ethic_fanatic_xenophobe|ethic_fanatic_militarist,civic_fanatic_purifiers,,,,,,classified,extermination,conquest,,unknown,unknown,synthetic:purifier
honorbound_conquest,Military personality ethics and civic,default,honorbound_warriors,ethic_fanatic_militarist|ethic_spiritualist,civic_distinguished_admiralty,,,,,,classified,conquest,,,unknown,unknown,synthetic:honorbound
ordinary_hive,Non-extermination gestalt growth,default,hive_mind,ethic_gestalt_consciousness,civic_hive_ascetic,auth_hive_mind,,,,,classified,gestalt_growth,,,unknown,unknown,synthetic:ordinary_hive
inward_defensive,Hard defensive identity with research secondary,default,harmonious_hierarchy,ethic_fanatic_pacifist|ethic_materialist,civic_inwards_perfection,,,,,,classified,defensive,research,,unknown,unknown,synthetic:inward_defensive
erudite_research,Research identity with diplomatic secondary,default,erudite_explorers,ethic_fanatic_materialist|ethic_egalitarian,civic_meritocracy,,,,,,classified,research,diplomatic,,unknown,unknown,synthetic:erudite
spiritual_diplomat,Diplomatic personality ethics and civic,default,spiritual_seekers,ethic_fanatic_xenophile|ethic_spiritualist,civic_free_haven,,,,,,classified,diplomatic,,,unknown,unknown,synthetic:spiritual_diplomat
balanced_fallback,Unknown default identity uses explicit neutral fallback,default,mystery_personality,ethic_spiritualist,civic_efficient_bureaucracy,,,,,,insufficient_evidence,balanced,,,unknown,unknown,synthetic:balanced_fallback
special_excluded,Non-default countries are outside this model,fallen_empire,fanatic_purifiers,ethic_fanatic_militarist,civic_fanatic_purifiers,,,,,,excluded,,,,unknown,unknown,synthetic:special_country
nomadic_excluded,Nomadic countries require a separate economic model,default,migrating_flock,ethic_fanatic_xenophile,,,,,,,excluded,,,,true,unknown,synthetic:nomadic
hard_conflict,Contradictory hard identity markers fail closed,default,fanatic_purifiers,ethic_fanatic_pacifist,civic_inwards_perfection,,,,,,conflict,,,,unknown,unknown,synthetic:hard_conflict
mixed_conquest_research,Mixed identity retains research secondary,default,hegemonic_imperialists,ethic_fanatic_materialist|ethic_fanatic_militarist,civic_meritocracy,,,,,,classified,conquest,research,,unknown,unknown,synthetic:mixed_identity
devouring_gestalt,Extermination hard markers outrank gestalt growth,default,devouring_swarm,ethic_gestalt_consciousness,civic_hive_devouring_swarm,auth_hive_mind,gov_devouring_swarm,,,,classified,extermination,gestalt_growth,,unknown,unknown,synthetic:devouring_hive
verified_behavior_mix,Verified source behavior body contributes strong evidence,default,,,,,,,save_time_winner_verified,dominator|liberator,classified,diplomatic,conquest,,unknown,unknown,synthetic:behavior_mix
crisis_perk,Become-the-crisis is an explicit extermination marker,default,,ethic_materialist,,,,,,,classified,extermination,research,ap_become_the_crisis,unknown,unknown,synthetic:crisis_perk
assimilator_secondary_conquest,Assimilator keeps gestalt substrate and conquest secondary,default,assimilators,ethic_gestalt_consciousness,civic_machine_assimilator,auth_machine_intelligence,,,,,classified,gestalt_growth,conquest,,unknown,unknown,synthetic:assimilator
wilderness_growth,Wilderness uses the nonstandard growth substrate,default,,,,,,,,,classified,gestalt_growth,,,unknown,true,synthetic:wilderness
servitor_mixed,Servitor keeps gestalt substrate with diplomatic and conquest secondaries,default,servitors,ethic_gestalt_consciousness,civic_machine_servitor,auth_machine_intelligence,,,current_source_resolved,subjugator|uplifter,classified,gestalt_growth,diplomatic|conquest,,unknown,unknown,synthetic:servitor
materialist_federator,Federator personality remains primary over materialist secondary,default,federation_builders,ethic_fanatic_materialist|ethic_xenophile,civic_diplomatic_corps,,,,,,classified,diplomatic,research,,unknown,unknown,synthetic:materialist_federator
hyperthermia_extreme,Verified extreme personality is extermination primary,default,hyperthermia_empire,ethic_fanatic_xenophobe,civic_scorched_earth,,,,,,classified,extermination,,,unknown,unknown,synthetic:hyperthermia
