load_position,steam_id,name,root,job_id,relative_file,category,subject,base_output_json,triggered_output_json,optimistic_output_json,base_upkeep_json,triggered_upkeep_json,optimistic_upkeep_json,base_research_total,optimistic_research_total,unresolved_variables,base_output_physics_research,base_output_society_research,base_output_engineering_research,base_output_energy,base_output_minerals,base_output_consumer_goods,base_output_alloys,base_output_volatile_motes,base_output_exotic_gases,base_output_rare_crystals,base_output_food,base_output_unity,base_output_influence,base_output_trade,base_output_trade_value,base_output_sr_zro,base_output_sr_dark_matter,base_output_sr_living_metal,base_output_nanites,base_output_giga_sr_negative_mass,base_output_giga_sr_amb_megaconstruction,base_output_giga_sr_iodizium,base_output_giga_sr_sentient_metal,optimistic_output_physics_research,optimistic_output_society_research,optimistic_output_engineering_research,optimistic_output_energy,optimistic_output_minerals,optimistic_output_consumer_goods,optimistic_output_alloys,optimistic_output_volatile_motes,optimistic_output_exotic_gases,optimistic_output_rare_crystals,optimistic_output_food,optimistic_output_unity,optimistic_output_influence,optimistic_output_trade,optimistic_output_trade_value,optimistic_output_sr_zro,optimistic_output_sr_dark_matter,optimistic_output_sr_living_metal,optimistic_output_nanites,optimistic_output_giga_sr_negative_mass,optimistic_output_giga_sr_amb_megaconstruction,optimistic_output_giga_sr_iodizium,optimistic_output_giga_sr_sentient_metal,optimistic_upkeep_physics_research,optimistic_upkeep_society_research,optimistic_upkeep_engineering_research,optimistic_upkeep_energy,optimistic_upkeep_minerals,optimistic_upkeep_consumer_goods,optimistic_upkeep_alloys,optimistic_upkeep_volatile_motes,optimistic_upkeep_exotic_gases,optimistic_upkeep_rare_crystals,optimistic_upkeep_food,optimistic_upkeep_unity,optimistic_upkeep_influence,optimistic_upkeep_trade,optimistic_upkeep_trade_value,optimistic_upkeep_sr_zro,optimistic_upkeep_sr_dark_matter,optimistic_upkeep_sr_living_metal,optimistic_upkeep_nanites,optimistic_upkeep_giga_sr_negative_mass,optimistic_upkeep_giga_sr_amb_megaconstruction,optimistic_upkeep_giga_sr_iodizium,optimistic_upkeep_giga_sr_sentient_metal
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,agri_drone,common\pop_jobs\04_gestalt_jobs.txt,simple_drone,agri_drones,"{""alloys"":1.0,""food"":5.0}",{},"{""alloys"":1.0,""food"":5.0}",{},{},{},0.0,0.0,@requisitorium_food_reduction,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,aid_worker,common\pop_jobs\08_overlord_jobs.txt,worker,aid_workers,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,aid_worker_drone,common\pop_jobs\08_overlord_jobs.txt,simple_drone,aid_worker_drones,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,alien_hunter,common\pop_jobs\06_event_jobs.txt,worker,alien_hunters,"{""food"":2.0}",{},"{""food"":2.0}",{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,alloy_drone,common\pop_jobs\04_gestalt_jobs.txt,complex_drone,alloy_drones,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,angler,common\pop_jobs\03_worker_jobs.txt,worker,anglers,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,archaeo_drone,common\pop_jobs\04_gestalt_jobs.txt,complex_drone,archaeo_drones,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,archaeo_unit,common\pop_jobs\04_gestalt_jobs.txt,complex_drone,archaeo_units,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,archaeoengineers,common\pop_jobs\02_specialist_jobs.txt,specialist,archaeoengineerss,{},{},{},{},{},{},0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,vanilla,Stellaris vanilla,C:\Steam\steamapps\common\Stellaris,archivist,common\pop_jobs\06_event_jobs.txt,specialist,archivists,"{""engineering_research"":3.0,""physics_research"":3.0,""society_research"":3.0}",{},"{""engineering_research"":3.0,""physics_research"":3.0,""society_research"":3.0}","{""consumer_goods"":3.0}",{},"{""consumer_goods"":3.0}",9.0,9.0,none,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
