benefit_class,object_type,object_id,role,strategic_tags,evidence_kind,valuation_status,formula_status,benefit_amount,source_terms,matched_modifier_keys,matched_tags,priority_score,can_demolish,can_build,can_be_disabled,has_destroy_trigger,winning_mod_name,winning_file
amenities,building,building_affluence_center,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_ancient_control_center,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,15000.0,amenities,planet_amenities_add,,0.0,yes,no,default,no,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_ancient_hive_capital,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,15000.0,amenities,planet_amenities_add,,10.0,yes,no,default,no,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_ancient_palace,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,15000.0,amenities,planet_amenities_add,,0.0,yes,no,default,no,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_avatar_chamber_1,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1800.0,amenities,planet_amenities_no_happiness_add,,0.0,yes,yes,default,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_avatar_chamber_2,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,600.0,amenities,planet_amenities_no_happiness_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_avatar_chamber_3,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,800.0,amenities,planet_amenities_no_happiness_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_avatar_chamber_4,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1200.0,amenities,planet_amenities_no_happiness_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_capital_wilderness,capital_world,cannot_demolish|capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,10.0,no,no,no,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_clone_army_clone_vat,habitat_growth_center,capital_or_empire_unique_candidate|habitat_growth_center|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,1110.0,default,default,default,yes,Stellaris vanilla,common\buildings\01_pop_assembly_buildings.txt
amenities,building,building_clone_vats,habitat_growth_center,habitat_growth_center|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,450.0,default,default,default,yes,Stellar AI Director,common\buildings\zzzz_staid_07_pop_assembly_buildings.txt
amenities,building,building_colony_shelter,strategic_support,cannot_demolish,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,300.0,amenities,planet_amenities_add,,0.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_colony_shelter_wilderness,strategic_support,cannot_demolish|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,300.0,amenities,planet_amenities_add,,0.0,no,no,no,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_communal_housing,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,default,default,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_communal_housing_large,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_corporate_clinics,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,100.0,amenities,job_healthcare_amenities_add,,10.0,default,default,default,no,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt
amenities,building,building_crude_huts,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
amenities,building,building_deployment_post,strategic_support,cannot_demolish,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,0.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_drone_megastorage,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_no_happiness_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_drone_storage,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_no_happiness_add,,0.0,default,default,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_executive_retreat,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,0.1,amenities,planet_amenities_mult,,10.0,default,default,default,no,Stellaris vanilla,common\buildings\14_branch_office_buildings.txt
amenities,building,building_expanded_warren,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_no_happiness_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_fe_dome,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,7500.0,amenities,planet_amenities_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_fe_entertainment_2,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
