scenario,month,income_energy,income_minerals,income_food,income_consumer_goods,income_alloys,income_unity,income_trade,income_research,target_energy,target_minerals,target_food,target_consumer_goods,target_alloys,target_unity,target_trade,target_research,research_to_ordinary_ratio
early_balanced,1,45.0,125.0,12.0,35.0,65.0,35.0,0.0,385.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,1.2145
early_balanced,2,45.0,125.0,12.0,35.0,65.0,35.0,0.0,520.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,1.6404
early_balanced,3,45.0,125.0,12.0,35.0,65.0,35.0,0.0,655.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,2.0662
early_balanced,4,45.0,125.0,12.0,35.0,65.0,35.0,0.0,790.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,2.4921
early_balanced,5,45.0,125.0,12.0,35.0,65.0,35.0,0.0,925.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,2.918
early_balanced,6,45.0,125.0,12.0,35.0,65.0,35.0,0.0,1060.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.3438
early_balanced,7,45.0,125.0,12.0,35.0,65.0,35.0,0.0,1195.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.7697
early_balanced,8,45.0,125.0,12.0,35.0,65.0,35.0,0.0,1330.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.1956
early_balanced,9,45.0,125.0,12.0,35.0,65.0,35.0,0.0,1465.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.6215
early_balanced,10,45.0,125.0,12.0,35.0,65.0,35.0,0.0,1600.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.0473
early_balanced,11,45.0,125.0,12.0,43.0,65.0,35.0,0.0,1690.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.2
early_balanced,12,57.0,125.0,12.0,51.0,65.0,35.0,0.0,1735.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.029
early_balanced,13,57.0,125.0,12.0,59.0,65.0,35.0,0.0,1825.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.17
early_balanced,14,69.0,125.0,12.0,67.0,65.0,35.0,0.0,1870.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.0134
early_balanced,15,69.0,125.0,12.0,75.0,65.0,35.0,0.0,1960.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.1444
early_balanced,16,81.0,125.0,12.0,83.0,65.0,35.0,0.0,2005.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.0
early_balanced,17,93.0,125.0,12.0,83.0,65.0,35.0,0.0,2095.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.0726
early_balanced,18,93.0,125.0,12.0,99.0,65.0,35.0,0.0,2140.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.9883
early_balanced,19,105.0,125.0,12.0,99.0,65.0,35.0,0.0,2230.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.0567
early_balanced,20,117.0,125.0,12.0,107.0,65.0,35.0,0.0,2275.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.9349
early_balanced,21,117.0,125.0,12.0,115.0,65.0,35.0,0.0,2365.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,5.0426
early_balanced,22,129.0,125.0,12.0,123.0,73.0,35.0,0.0,2365.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.7586
early_balanced,23,129.0,125.0,12.0,123.0,73.0,47.0,0.0,2410.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.7348
early_balanced,24,129.0,125.0,24.0,123.0,81.0,53.0,0.0,2410.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.5047
early_balanced,25,129.0,125.0,24.0,123.0,81.0,65.0,0.0,2455.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.4881
early_balanced,26,129.0,125.0,24.0,131.0,81.0,77.0,0.0,2455.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.3298
early_balanced,27,129.0,125.0,24.0,131.0,89.0,89.0,0.0,2455.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.1823
early_balanced,28,129.0,125.0,36.0,131.0,89.0,95.0,0.0,2500.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,4.1322
early_balanced,29,141.0,125.0,36.0,131.0,89.0,107.0,0.0,2500.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.9746
early_balanced,30,141.0,125.0,36.0,139.0,97.0,113.0,0.0,2500.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.8402
early_balanced,31,141.0,125.0,36.0,139.0,97.0,125.0,0.0,2545.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.8386
early_balanced,32,141.0,140.0,36.0,139.0,97.0,137.0,0.0,2545.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.6884
early_balanced,33,141.0,140.0,48.0,139.0,105.0,143.0,0.0,2545.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.5545
early_balanced,34,141.0,140.0,48.0,139.0,105.0,155.0,0.0,2590.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.5577
early_balanced,35,141.0,140.0,48.0,147.0,105.0,167.0,0.0,2590.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.4626
early_balanced,36,153.0,140.0,48.0,147.0,113.0,173.0,0.0,2590.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.3463
early_balanced,37,153.0,140.0,60.0,147.0,113.0,185.0,0.0,2590.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.2456
early_balanced,38,153.0,155.0,60.0,147.0,113.0,191.0,0.0,2635.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.2173
early_balanced,39,153.0,155.0,60.0,147.0,121.0,203.0,0.0,2635.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.1406
early_balanced,40,153.0,155.0,60.0,155.0,121.0,215.0,0.0,2635.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0675
early_balanced,41,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,42,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,43,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,44,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,45,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,46,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,47,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,48,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,49,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,50,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,51,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,52,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,53,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,54,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,55,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,56,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,57,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,58,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,59,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,60,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,61,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,62,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,63,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,64,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,65,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,66,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,67,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,68,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,69,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,70,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,71,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,72,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,73,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,74,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,75,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,76,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,77,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,78,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,79,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,80,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,81,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,82,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,83,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
early_balanced,84,153.0,155.0,60.0,155.0,121.0,221.0,0.0,2680.0,150.0,150.0,60.0,150.0,120.0,220.0,75.0,2650.0,3.0983
