load_position,game_registry_id,steam_id,display_name,version,required_version,source,root,common_exists,descriptor_exists,is_focus_source
0,vanilla,vanilla,Stellaris vanilla,Pegasus v4.4.4 (5505),v4.4.4,vanilla,C:\Steam\steamapps\common\Stellaris,True,False,True
1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1353547443,True,True,False
2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,,v4.*.*,steam,c:\steam\steamapps\workshop\content\281990\1880071041,False,True,False
3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,,v4.*.*,steam,c:\steam\steamapps\workshop\content\281990\1468105710,True,True,False
4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,,*,steam,c:\steam\steamapps\workshop\content\281990\3153706012,False,True,False
5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,,3.14.*,steam,c:\steam\steamapps\workshop\content\281990\2603749338,True,True,False
6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,,v4.1.6,steam,c:\steam\steamapps\workshop\content\281990\3597087138,True,True,False
7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3691866974,False,True,False
8,mod/ugc_1591647610.mod,1591647610,*Remastered Human Portraits,,*.*.*,steam,c:\steam\steamapps\workshop\content\281990\1591647610,False,True,False
9,mod/ugc_3273853969.mod,3273853969,CyberneticHumansExpanded,,v4.2.4,steam,c:\steam\steamapps\workshop\content\281990\3273853969,False,True,False
10,mod/ugc_2831641558.mod,2831641558,Human Union,,3.5.3,steam,c:\steam\steamapps\workshop\content\281990\2831641558,False,True,False
11,mod/ugc_2807625132.mod,2807625132,More Human Clothes nach 3.4,,v3.14.*,steam,c:\steam\steamapps\workshop\content\281990\2807625132,False,True,False
12,mod/ugc_2037107797.mod,2037107797,Stellerotica - Human Hair v2,,2.8.*,steam,c:\steam\steamapps\workshop\content\281990\2037107797,False,True,False
13,mod/ugc_2980443402.mod,2980443402,Animated Cat Portraits,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\2980443402,True,True,False
14,mod/ugc_3664761724.mod,3664761724,Cuter Evil Cats,,v4.2.*,steam,c:\steam\steamapps\workshop\content\281990\3664761724,False,True,False
15,mod/ugc_3087170862.mod,3087170862,MEM Portraits Standalone,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3087170862,True,True,False
16,mod/ugc_3270323945.mod,3270323945,Cyber,,v4.*.*,steam,c:\steam\steamapps\workshop\content\281990\3270323945,True,True,False
17,mod/ugc_3248358945.mod,3248358945,Steampunk Badger Portraits,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3248358945,True,True,False
18,mod/ugc_689601294.mod,689601294,Alien Suns (Updated for 3.5),,3.5.2,steam,c:\steam\steamapps\workshop\content\281990\689601294,True,True,False
19,mod/ugc_3403640910.mod,3403640910,Alien Suns Rediscovered,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3403640910,True,True,False
20,mod/ugc_3406499352.mod,3406499352,Cosmic Chronicles: A Portrait Pack,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3406499352,True,True,False
21,mod/ugc_3425072893.mod,3425072893,Necrats Portraits Updated to v3.14.15,,*,steam,c:\steam\steamapps\workshop\content\281990\3425072893,True,True,False
22,mod/ugc_3425057306.mod,3425057306,Vampire Beast Portraits Updated to v3.14.15,,*,steam,c:\steam\steamapps\workshop\content\281990\3425057306,True,True,False
