surface,object_id,load_position,steam_id,display_name,relative_file,reference_key,reference_value,target_surface,reference_status,source_file
districts,district_cosmogenesis_goverment,0,vanilla,Stellaris vanilla,common/districts/00_special_districts.txt,zone_slots,slot_cosmogenesis_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_special_districts.txt
districts,district_cosmogenesis_world_science,0,vanilla,Stellaris vanilla,common/districts/00_special_districts.txt,zone_slots,slot_empty,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_special_districts.txt
districts,district_cosmogenesis_world_logic,0,vanilla,Stellaris vanilla,common/districts/00_special_districts.txt,zone_slots,slot_empty,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_special_districts.txt
districts,district_mindlink,0,vanilla,Stellaris vanilla,common/districts/00_special_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_special_districts.txt
districts,district_mindlink,0,vanilla,Stellaris vanilla,common/districts/00_special_districts.txt,zone_slots,slot_city_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_special_districts.txt
districts,district_mindlink,0,vanilla,Stellaris vanilla,common/districts/00_special_districts.txt,zone_slots,slot_city_02,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_special_districts.txt
districts,district_city,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_city,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_city,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_02,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_crashed_slaver_ship,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_resort,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_resort,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_resort_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_resort,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_resort_02,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_resort_1,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_resort_attraction_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_resort_2,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_resort_attraction_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_resort_3,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_resort_attraction_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_prison,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_prison,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_prison,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_02,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_slave,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_slave,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_slave,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_02,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_hive,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_hive,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_01,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_hive,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_02,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_hive_1,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_hive,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_hive_2,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_hive,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_hive_3,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_hive,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
districts,district_nexus,0,vanilla,Stellaris vanilla,common/districts/00_urban_districts.txt,zone_slots,slot_city_government,zone_slots,ok,C:\Steam\steamapps\common\Stellaris\common\districts\00_urban_districts.txt
