surface,folder,merge_model,load_position,game_registry_id,steam_id,display_name,source_kind,root,folder_exists,file_count,object_count,ai_weight_object_count,parse_error_count
economic_plans,economic_plans,additive_object_merge,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,7,6,6,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,20,199,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,1,100,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,18,27,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,1,13,0,0
on_actions,on_actions,additive_object_merge,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,4,479,0,0
megastructures,megastructures,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,30,164,35,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,7,94,94,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,4,117,112,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,40,319,0,0
section_templates,section_templates,last_definition_wins_by_section_key,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,59,482,97,0
component_templates,component_templates,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,55,1500,1026,0
component_sets,component_sets,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,23,439,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,39,436,0,0
districts,districts,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,10,147,0,0
zones,zones,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,7,145,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,0,vanilla,vanilla,Stellaris vanilla,vanilla,C:\Steam\steamapps\common\Stellaris,yes,3,33,0,0
economic_plans,economic_plans,additive_object_merge,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
on_actions,on_actions,additive_object_merge,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,yes,1,2,0,0
megastructures,megastructures,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,yes,1,2,2,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
component_sets,component_sets,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
districts,districts,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
zones,zones,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,1,mod/ugc_1353547443.mod,1353547443,Battle Debris - Starship Graveyards,enabled_mod,c:\steam\steamapps\workshop\content\281990\1353547443,no,0,0,0,0
economic_plans,economic_plans,additive_object_merge,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
